start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
5488.00,5491.00,FORREST,JENNY,,,DANCE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5495.00,5500.00,JENNY,FORREST,,,DANCE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5506.00,5508.00,FORREST,JENNY,,,DANCE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5506.00,5508.00,JENNY,FORREST,,,DANCE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5509.00,5516.00,JENNY,FORREST,,,CUDDLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5541.00,5541.00,JENNY,FORREST,FACE,HEAD,,0,POSITIVE,STRONG_POSITIVE,1,
5627.00,5662.00,JENNY,FORREST,,,LAY_ON_SOMEBODY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
5632.00,5632.00,JENNY,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
5636.00,5649.00,JENNY,FORREST,FACE,FACE,,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
5636.00,5649.00,FORREST,JENNY,FACE,FACE,,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
5643.00,5651.00,FORREST,JENNY,,,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
5655.00,5661.00,FORREST,JENNY,,BACK,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
5928.00,5930.00,MEN,FORREST,,,BRUSH PAST,1,POSITIVE,NEGATIVE,0,
5931.00,5932.00,MEN,FORREST,,,BRUSH PAST,1,POSITIVE,NEGATIVE,0,
6078.00,6507.00,MEN,MEN,,ABDOMEN,PUSH_AWAY,0,NEGATIVE,NEGATIVE,1,
6106.00,6111.00,MEN,MEN,,ABDOMEN,PUSH_AWAY,0,NEGATIVE,NEGATIVE,1,
6141.00,6144.00,MEN,MEN,,,BRUSH PAST,0,NEGATIVE,NEGATIVE,0,
6189.00,6189.00,FORREST,OLDWOMAN,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6190.00,6190.00,FORREST,OLDWOMAN,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
6204.00,6206.00,JENNY,FORREST,,,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
6207.00,6207.00,JENNY,FORREST,,CHEST,PAT,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
6278.00,6278.00,WOMAN,BOY,,,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
6278.00,6278.00,BOY,WOMAN,,,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
6279.00,6280.00,WOMAN,BOY,,,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
6279.00,6280.00,BOY,WOMAN,,,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
6280.00,6284.00,JENNY,BOY,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
6287.00,6298.00,JENNY,BOY,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
6302.00,6303.00,JENNY,BOY,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
6344.00,6345.00,JENNY,FORREST,,CHEST,PAT,0,POSITIVE,POSITIVE,1,
6346.00,6348.00,JENNY,FORREST,,,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
6479.00,6480.00,OLDWOMAN,FORREST,,BACK,TAP,0,POSITIVE,POSITIVE,1,
6502.00,6510.00,JENNY,FORREST,,CHEST,FIX CLOTHING,0,POSITIVE,POSITIVE,1,
6517.00,6519.00,JENNY,FORREST,,,FIX CLOTHING,0,POSITIVE,POSITIVE,1,
