start,end,actor,recp,bp_actor,bp_recp,labels,int-bc,val_actor,val_recp,intention,audio_info
01:44:54:04,01:44:58:23,jc,boy,hand,brust,klop,wea,spos,spos,ja,
01:44:54:05,01:44:58:23,boy,jc,arm,nacken,arm,wea,pos,spos,ja,
01:45:02:00,01:45:03:06,boy,jc,arm,nacken,arm,wea,pos,spos,ja,
01:45:02:00,01:45:03:06,jc,boy,arm,gesaess ,tra,wea,pos,pos,ja,
01:45:02:00,01:45:02:18,jc,boy,hand,brust,klop,wea,spos,pos,ja,
01:45:03:00,01:45:03:21,jc,boy,hand,arm,lag,wea,pos,pos,ja,
01:45:44:20,01:45:45:12,jc,fg,hand,brust,ans,wea,pos,pos,ja,
01:45:46:02,01:45:51:13,jc,fg,hand,hand,hah,wea,pos,pos,ja,narr
01:47:59:15,01:48:00:16,oldwoman,fg,hand,ruecken,klop,wea,pos,pos,ja,
01:48:22:20,01:48:30:20,jc,fg,hand,brust,klei,wea,pos,pos,ja,
01:48:38:00,01:48:38:11,jc,fg,hand,brust,sb,wea,pos,pos,ja,
01:48:38:15,01:48:39:07,jc,fg,hand,ruecken,weg,wea,pos,pos,ja,
01:49:17:22,01:49:20:12,dt,woman,arm,ruecken,arm,wea,spos,spos,ja,
01:49:34:19,01:49:35:13,jc,dt,hand,kopf,fes,wea,spos,spos,ja,
01:49:34:24,01:49:35:12,jc,dt,gesicht,gesicht,kuss,wea,spos,spos,ja,
01:49:46:22,01:49:49:02,jc,boy,hand,arm,zie,wea,pos,pos,ja,
01:49:49:23,01:49:59:07,jc,fg,hand,hand,hah,str,spos,spos,ja,
01:49:49:23,01:49:59:07,fg,jc,hand,hand,hah,str,spos,spos,ja,
01:50:02:05,01:50:07:14,jc,fg,hand,hand,hah,wea,pos,pos,ja,
01:50:02:05,01:50:07:14,fg,jc,hand,hand,hah,wea,pos,pos,ja,
01:50:06:16,01:50:13:15,boy,fg,hand,hand,hah,wea,pos,pos,ja,
01:50:10:21,01:50:12:18,fg,jc,hand,hand,hah,wea,pos,pos,ja,
01:50:43:06,01:50:44:03,jc,fg,hand,gesaess,ans,wea,pos,pos,ja,
01:52:04:14,01:52:07:08,jc,fg,hand,hand,hah,wea,spos,spos,ja,
01:52:58:06,01:53:06:17,fg,boy,bein,bein,nah,wea,pos,pos,ja,
01:52:58:06,01:53:06:17,boy,fg,bein,bein,nah,wea,pos,pos,ja,
01:53:02:21,01:53:03:16,fg,boy,gesicht,kopf,kuss,str,spos,pos,ja,
01:55:44:21,01:55:56:23,fg,boy,bein,bein,nah,wea,pos,pos,ja,
01:55:44:21,01:55:56:23,boy,fg,bein,bein,nah,wea,pos,pos,ja,
01:55:56:23,01:56:01:13,fg,boy,arm,arm,nah,wea,pos,pos,ja,
01:55:56:23,01:56:01:13,boy,fg,arm,arm,nah,wea,pos,pos,ja,
01:56:13:09,01:56:14:00,fg,boy,hand,schulter,klei,wea,pos,pos,ja,
01:56:14:17,01:56:14:19,fg,boy,hand,ruecken,weg,wea,pos,pos,ja,
